_id,created_at,ward_id,title,description,sub_category_id,civic_agency_id,location,address,latitude,longitude,ward_title,category_id,category_title,sub_category_title,civic_agency_title,complaint_status_title,comment_count
1,2019-01-01T06:33:00,22,Govt Road is encroached with knowledge of officials,"Govt Road is encroached by Private buildings in last 3 months, even BWSSB pipe has gone under their construction.",162,10,"9Th Cross St, Hanumanthappa Layout, Sultanpalya, Hebbal, Bengaluru, Karnataka 560032, India",Opposite S M Food Palace,13.0318055,77.6054367,Vishwanath Nagenahalli,382,Community Infrastructure and Services,Government Land/Property Encroachment,BBMP,Resolved,6
2,2019-01-01T09:59:00,27,Money menace is a huge problem with residents of Chikka Banaswadi...,"Money menace is a huge problem with residents of Chikka Banaswadi.
Monkeys come in groups and create lot of problem.  Please assign this to right authority to get it rectified",42,NULL,"2, 1St Cross Rd, Chikka Banaswadi, Ombr Layout, Banswadi, Bengaluru, Karnataka 560043, India",NULL,13.0065056,77.6444845,Banasavadi,9,Others,Others,NULL,Open,0
3,2019-01-01T12:57:00,17,Showing old owner name in online property tax system,"My property SAS base app no 1600800634 New Pid no 017-W0144-18-55 still showing old owner name, kindly resolve this on priority.

Regards
Pradeep",148,10,"No.18 19Th Cross, 19, 19Th Cross, Muthyala Nagar, Bandappa Garden, Mathikere, Bengaluru, Karnataka 560054, India",J P Park,13.0386344,77.551505,J P Park,1,Certificates,Property Tax,BBMP,Resolved,1
4,2019-01-01T13:09:00,161,Extremely dangerous BTP barrier in the middle of the road and hug...,"Extremely dangerous BTP barrier in the middle of the road and huge manhole lid right in the middle of the road at the corner of two roads. Please fix ASAP, before someone accidentally dies!!!",67,10,"Anjaneya Nagar, Ittamadu, Banashankari 3Rd Stage, Banashankari, Bengaluru, Karnataka, India",NULL,12.9268712,77.5447143,Hosakerehalli,15,"Mobility - Roads, Footpaths and Infrastructure",Tarring Or Asphalting Of Existing Road,BBMP,Resolved,2
5,2019-01-01T14:41:00,176,No water supply,"Lat few days there is no proper water supply in our area and also last 2 days NO WATER ...no body picking phone if received also so they are tailing same dialogue there is some work after 1 week will resolve, every week we are facing issue and specially on weekends when all family members in home.
Please resolve this issue last 2 days no water",182,2,"27Th Main Rd, Btm 2Nd Stage, Kuvempu Nagar, Stage 2, Btm 2Nd Stage, Bengaluru, Karnataka, India",27th main btm 2nd stage,12.9139053,77.6142494,BTM Layout,23,Water Supply and Services,Regular Water Supply,BWSSB,Open,0
6,2019-01-01T16:26:00,192,Garbage dump at chamundeshwari layout 1st cross devarchikanahalli...,Garbage dump at chamundeshwari layout 1st cross devarchikanahalli.. as garbage van will not come in this area at all. please get this cleaned on priority,155,10,"45, Devarachikkanahalli Road, Devarachikkana Halli, Bengaluru, Karnataka 560076, India",NULL,12.8864758,77.61901653,Begur,6,Garbage and Unsanitary Practices,Clearance Of Garbage Dump Or Black Spot,BBMP,Resolved,2
7,2019-01-01T18:18:00,148,"Streetlight not working in 4th 'A' cross, residential association...","Streetlight not working in 4th 'A' cross, residential association road, ejipura, Bangalore -47, last dead end pole.",62,10,"6, 4Th A Cross Rd, Gowda Muniswamy Garden, Ejipura, Bengaluru, Karnataka 560047, India",NULL,12.9477917,77.6234444,Ejipura,470,Streetlights,Maintenance/Repair Of Streetlights,BBMP,On-the-Job,1
8,2019-01-01T20:06:00,149,Street light not working,"Street light not working, leading to complete darkness resulting in accidents and being place for youth to consume alcohol",62,10,"Survery No. 69/1, 69/2, Horahalli Road, Sorahunase, Bengaluru, Karnataka 560087, India",Sapthagiri Towers Apartment,12.9494435,77.7558758,Varthur,470,Streetlights,Maintenance/Repair Of Streetlights,BBMP,On-the-Job,1
9,2019-01-01T20:12:00,149,Dumping of garbage,Garbage is being dumped and not cleared. It is burnt at nights (plastic) leading to severe health problems,155,10,"Sorahunase, Bengaluru, Karnataka 560087, India",Sapthagiri Towers Apartment,12.949117,77.755857,Varthur,6,Garbage and Unsanitary Practices,Clearance Of Garbage Dump Or Black Spot,BBMP,Resolved,4
10,2019-01-02T01:42:00,83,Sewage line not closed for about 4years now,"The sewage line next to my home has not been closed ever since it was re constructed. It has gaps in between and the corner part which is right close to my home has never been closed. It overflows and the stagnant water creates dirty smell and also mosquito troubles alot. Nobody has ever taken any step on this.
Kindly repair this as this leads to illness to my family and my sourrounding area.
There has also been times when we have spotted snakes coming out of this and thrice snakes entered my home.
Please take an action on this sewage line and resolve this issue.",72,2,"Unnamed Road, Kadugodi, Bengaluru, Karnataka 560067, India",Opposite to Union Bank ATM,12.9962858,77.76690513,Kadugodi,472,Sewerage Systems,Maintenance And Repair Of Sewage Lines,BWSSB,Open,2
11,2019-01-02T07:30:00,42,Cutting the very old trees by putting concentrated Acid for sake of Building construction.,"Dear Forest officer of BBMP,

This is to bring to your notice that very old tree infront of a house(BBMP Planted Tree) has been chopped recently and removed.  though it was not affecting anyone in Vidhansoudha Layout, 6th Cross, next to house number 130 by a house owner. 

Concentrated Acid has been poured on roots and stem of Tree and choped later.

We request to please take Strict Action on these kind of inhuman act.

Trees are planted and for no sake it has been chopped by placing Acids.

we urge and request to take a strict action on this inhuman act of chopping BBMP Old Trees.

Ward number : 42
Vidhansoudha layout, 6th Cross, next to house number 130.

enclosing photos also.

Looking forward for some Strict action on this Please.

Thanks
 Environmentalist 

Stop Afforestation built Forest compaign.",180,10,"Unnamed Road, Kaveri Nagar, Bengaluru, Karnataka 560058, India","Vidhanasoudha layout , 6th Cross ,Sainik Public school Road.",13.01636826,77.52235136,Lakshmi Devi Nagar,473,Trees and Saplings,Defacement Of Trees,BBMP,Re-opened,12
